time,battery_current,soc,solarCurrent,solarVoltage,battery_voltage,solar_power
0,-1.40625E-09,12.95938104,8.024830487,0.004814898,0,0
0.1,-9.183804075,12.95941134,7.963903115,15.83108798,12.40108432,125.1436763
0.2,-10.23265016,12.95949894,7.953872395,18.12374385,12.40419049,142.2862469
0.3,-11.61254626,12.95963752,7.925421687,21.10195021,12.40755146,164.2119381
0.4,-13.23185446,12.95982476,7.684822172,25.08271885,12.41117727,189.945203
0.5,-13.5188751,12.96005914,7.287995259,26.75720507,12.41304954,195.2285558
0.6,-13.47344075,12.96033187,7.326000172,26.64478075,12.41414692,195.1002614
0.7,-13.56047098,12.96063306,7.323951823,26.65099179,12.41510927,195.1086316
0.8,-13.44745054,12.96095533,7.284980878,26.76587752,12.41561436,195.2365449
0.9,-13.50246212,12.9612932,7.328209374,26.63806175,12.41616121,195.0910606
1,-13.51558116,12.96164264,7.293020514,26.74267008,12.4165376,195.2147566
1.1,-11.31717303,12.96199184,5.929508483,27.20008977,12.41360016,160.7288872
1.2,-11.31812763,12.9623332,5.930067304,27.19757756,12.41338974,160.7245317
1.3,-11.31827943,12.96266878,5.930136182,27.19726769,12.4132378,160.7239931
1.4,-11.31838724,12.96300009,5.930185124,27.19704748,12.41312985,160.7236103
1.5,-11.31846249,12.96332823,5.930219302,27.19689368,12.41305447,160.7233428
1.6,-8.778928217,12.96364425,4.4430519,27.96207904,12.4093174,124.0118048
1.7,-8.649206588,12.96394274,4.461811977,27.8422995,12.40866264,123.8689281
1.8,-8.489817679,12.9642283,4.465213218,27.81969899,12.40810496,123.8384845
1.9,-8.28386805,12.96450427,4.454361598,27.89083002,12.40758962,123.9306366
2,-8.048098349,12.96477315,4.415754444,28.12328706,12.40711071,124.1520249
2.1,-4.89964925,12.9650261,2.919176244,28.89968349,12.40249032,84.49094416
2.2,-6.023429474,12.96525772,2.987837179,28.2528881,12.40322506,84.18714849
2.3,-5.282495282,12.96547358,2.870525062,29.24431883,12.40187642,84.31691227
2.4,-5.387965471,12.96567775,2.997523008,28.13780808,12.40167532,84.06465341
2.5,-5.978076387,12.96587327,2.904048032,29.01435304,12.4021328,84.4630982
2.6,-2.611449273,12.9660508,1.50925386,27.72867591,12.39715842,41.75017876
2.7,-1.45561771,12.96620451,1.47019405,28.62771522,12.39507112,42.09929321
2.8,-2.467041085,12.96634058,1.424215312,29.28454995,12.39576666,41.84321965
2.9,-3.167723077,12.96646359,1.4932213,28.1601248,12.39623465,41.99555077
3,-1.743541669,12.96657693,1.50062834,27.97515533,12.39424749,41.90550133
3.1,-0.680697473,12.96667724,0.750659702,27.44490544,12.39237822,20.58164146
3.2,-0.091450692,12.96676247,0.735467361,28.1180034,12.39122534,20.68175655
3.3,-0.778720547,12.96683651,0.720281788,28.58686539,12.39172052,20.61396977
3.4,-1.394162628,12.96690226,0.738465252,28.00618674,12.39222108,20.67916663
3.5,-0.579082368,12.96696188,0.750265828,27.46657008,12.39106809,20.58766124
3.6,-0.058339225,12.96701579,0.58762843,28.52134593,12.39023138,16.75982382
3.7,-0.31178927,12.96706452,0.577817315,28.92968197,12.39038538,16.72750409
3.8,-0.961244894,12.96710943,0.586685121,28.56569017,12.39105631,16.76005772
3.9,-0.401090151,12.96715151,0.59742583,27.96372934,12.39030636,16.69436925
4,-0.054523234,12.96719149,0.588318347,28.48808007,12.38982472,16.75910824
,,,,,,
,,,,,,
0,-1.40625E-09,22.63056093,8.024830487,0.004814898,0,0
0.1,-9.132063532,22.63059115,7.962415642,16.22273101,12.70778909,128.2142539
0.2,-10.17157389,22.63067862,7.951443326,18.54809919,12.71108242,145.6027237
0.3,-11.53287269,22.630817,7.916267123,21.57672774,12.71460016,167.809946
0.4,-13.02234735,22.63100384,7.594313267,25.60811351,12.71823283,192.4017921
0.5,-13.29164104,22.63123675,7.384465077,26.45940264,12.72017843,194.8422689
0.6,-13.12938601,22.63150633,7.365890005,26.52007739,12.72119362,194.9519329
0.7,-13.0210384,22.63180307,7.331274809,26.62870362,12.72196105,195.1167166
0.8,-13.01045999,22.63211995,7.295411519,26.73572012,12.72261442,195.2359049
0.9,-13.05911755,22.63245172,7.271215694,26.8050486,12.72316781,195.2887303
1,-13.13310955,22.63279454,7.26348973,26.82673125,12.72362505,195.3009876
1.1,-11.10151628,22.63313691,5.851448476,27.52254986,12.72083857,161.1521019
1.2,-11.04779329,22.63347145,5.913152007,27.27220967,12.72052614,160.8844033
1.3,-10.76681812,22.63380022,5.913006374,27.27283988,12.72000614,160.8675815
1.4,-10.51427838,22.63412472,5.827163338,27.61300635,12.71956727,161.1964196
1.5,-10.81831698,22.63444606,5.787996007,27.7508474,12.71983275,161.2153415
1.6,-8.399941447,22.63475551,4.450969306,27.91249892,12.71616986,123.9482213
